index	gene
0	A1BG
1	A1CF
2	A2M
3	A4GALT
4	A4GNT
5	AAAS
6	AACS
7	AADAT
8	AAK1
9	AAMP
10	AANAT
11	AAR2
12	AARS2
13	AARSD1
14	AASDHPPT
15	AASS
16	AATF
17	ABAT
18	ABCA1
19	ABCA2
20	ABCA7
21	ABCB1
22	ABCB10
23	ABCB4
24	ABCB6
25	ABCB7
26	ABCC1
27	ABCC11
28	ABCC3
29	ABCC8
30	ABCC9
31	ABCD1
32	ABCD2
33	ABCD3
34	ABCD4
35	ABCE1
36	ABCF1
37	ABCG1
38	ABCG2
39	ABCG4
40	ABCG8
41	ABHD12
42	ABHD5
43	ABHD6
44	ABI1
45	ABI2
46	ABI3
47	ABL1
48	ABL2
49	ABLIM2
50	ABLIM3
51	ABR
52	ABRA
53	ABRAXAS1
54	ABRAXAS2
55	ABT1
56	ABTB1
57	ACAA1
58	ACAA2
59	ACACA
60	ACACB
61	ACAD10
62	ACAD8
63	ACAD9
64	ACADL
65	ACADM
66	ACADS
67	ACADSB
68	ACADVL
69	ACAN
70	ACAT1
71	ACAT2
72	ACBD3
73	ACBD6
74	ACE
75	ACE2
76	ACER1
77	ACER2
78	ACER3
79	ACHE
80	ACIN1
81	ACKR1
82	ACKR2
83	ACKR3
84	ACLY
85	ACMSD
86	ACO1
87	ACO2
88	ACOT1
89	ACOT11
90	ACOT12
91	ACOT13
92	ACOT2
93	ACOT4
94	ACOT7
95	ACOT8
96	ACOX1
97	ACOX2
98	ACOX3
99	ACP1
100	ACP2
101	ACP5
102	ACR
103	ACSBG1
104	ACSF3
105	ACSL1
106	ACSL3
107	ACSL4
108	ACSL5
109	ACSM1
110	ACSM2B
111	ACSM5
112	ACSS1
113	ACSS2
114	ACSS3
115	ACTA1
116	ACTBL2
117	ACTC1
118	ACTG1
119	ACTG2
120	ACTL6A
121	ACTL6B
122	ACTL7A
123	ACTN1
124	ACTN2
125	ACTN3
126	ACTN4
127	ACTR10
128	ACTR1A
129	ACTR1B
130	ACTR2
131	ACTR3
132	ACTR3B
133	ACTR3C
134	ACTR5
135	ACTR6
136	ACTR8
137	ACVR1
138	ACVR1B
139	ACVR1C
140	ACVR2A
141	ACVR2B
142	ACVRL1
143	ACY1
144	ACYP2
145	ADA
146	ADAM10
147	ADAM11
148	ADAM12
149	ADAM15
150	ADAM17
151	ADAM19
152	ADAM2
153	ADAM21
154	ADAM22
155	ADAM28
156	ADAM30
157	ADAM8
158	ADAM9
159	ADAMTS1
160	ADAMTS12
161	ADAMTS13
162	ADAMTS18
163	ADAMTS2
164	ADAMTS4
165	ADAMTS5
166	ADAMTS7
167	ADAMTSL1
168	ADAMTSL2
169	ADAMTSL3
170	ADAMTSL5
171	ADAP1
172	ADAP2
173	ADAR
174	ADCY1
175	ADCY10
176	ADCY2
177	ADCY3
178	ADCY5
179	ADCY6
180	ADCY7
181	ADCY8
182	ADCY9
183	ADCYAP1
184	ADD1
185	ADD2
186	ADD3
187	ADGRA2
188	ADGRB1
189	ADGRE5
190	ADGRF5
191	ADGRG3
192	ADGRL1
193	ADGRL2
194	ADGRL3
195	ADH1A
196	ADH1B
197	ADH1C
198	ADH4
199	ADH5
200	ADH7
201	ADHFE1
202	ADI1
203	ADIPOQ
204	ADIPOR1
205	ADIPOR2
206	ADK
207	ADM
208	ADNP
209	ADO
210	ADORA1
211	ADORA2A
212	ADORA2B
213	ADPGK
214	ADRA1A
215	ADRA1B
216	ADRA1D
217	ADRA2A
218	ADRA2B
219	ADRA2C
220	ADRB1
221	ADRB2
222	ADRB3
223	ADRM1
224	ADSL
225	AEBP2
226	AFAP1
227	AFDN
228	AFF1
229	AFF4
230	AFG3L2
231	AFMID
232	AGA
233	AGAP2
234	AGER
235	AGFG1
236	AGGF1
237	AGL
238	AGMAT
239	AGMO
