Hugosymbol	Label
KNL1	1
MMP1	1
SND1	1
WAS	1
BCL6	1
SKP2	1
USP44	1
TNC	1
ABL2	1
PDCD1LG2	1
ADH1B	1
BAX	1
PDGFRB	1
MAFB	1
EIF3E	1
SALL4	1
ZNF331	1
CASP9	1
BCL2L1	1
CAV1	1
CD209	1
CDKN1B	1
TSC1	1
RECQL4	1
IL7R	1
NFKBIE	1
EPS15	1
NONO	1
IL18	1
MLLT6	1
COL1A1	1
CCL2	1
ERBB4	1
TP53	1
SMAD3	1
CDX2	1
CD28	1
KDM3A	1
ACVR1	1
CRNKL1	1
PTPRC	1
AKT1	1
CHST11	1
EREG	1
FBXO11	1
ATR	1
THRAP3	1
BCLAF1	1
CHRNA5	1
CNTNAP2	1
GPC5	1
RNF213	1
IGF1	1
RUNX1	1
ABL1	1
NF2	1
PBX1	1
SBDS	1
BRD4	1
PPP6C	1
RAD17	1
P2RY8	1
SDHC	1
CASP3	1
SYK	1
MYCN	1
COL2A1	1
SMAD2	1
TSC2	1
PCBP1	1
NPM1	1
TFG	1
TGFA	1
CLU	1
PRKAR1A	1
TMPRSS2	1
SGK1	1
PTK6	1
ETV5	1
CUX1	1
HOOK3	1
IL10	1
BAZ1A	1
ACKR3	1
ERCC4	1
EED	1
FOLH1	1
DNAJB1	1
SPECC1	1
RABEP1	1
MUC4	1
NBEA	1
EWSR1	1
IRF4	1
MLLT1	1
ACVR1B	1
CYP19A1	1
AFDN	1
ARHGEF10L	1
LCK	1
PYCARD	1
TRIM33	1
CDH17	1
PARP1	1
ERC1	1
LRIG3	1
DROSHA	1
DAXX	1
FLNA	1
SETDB2	1
TCF3	1
EIF1AX	1
PGR	1
MMP2	1
DNMT3A	1
PML	1
ARHGEF10	1
RNF43	1
PTPRB	1
MAP3K1	1
BAD	1
KDR	1
ZNF521	1
TCF7L2	1
NFE2L2	1
EZH2	1
HOXC13	1
NRAS	1
CYP2C8	1
FAT4	1
LIFR	1
BRCA1	1
FUBP1	1
ATM	1
RMI2	1
NCOA4	1
MLH1	1
CRTC1	1
RALGDS	1
BCL11A	1
KLF6	1
PIM1	1
KMT2D	1
TCF12	1
DNMT3B	1
E2F1	1
FANCC	1
VIM	1
NFATC2	1
OGG1	1
MPL	1
CREB1	1
EXT1	1
LMO1	1
PRL	1
FGF2	1
PTPN13	1
GATA2	1
SF3B1	1
FGFR2	1
ATF1	1
BCL3	1
PDGFB	1
PMS2	1
VTI1A	1
POLG	1
IGFBP1	1
ALK	1
SS18L1	1
NTHL1	1
DDIT3	1
CHD4	1
SDHB	1
CDK4	1
ZMYM3	1
ERBB2	1
BMP6	1
CDH1	1
SOX2	1
PIK3R1	1
CXCR4	1
POLQ	1
AKT2	1
PLAUR	1
FOXA1	1
ELK4	1
CTNND2	1
CLP1	1
NCOR2	1
TNFRSF17	1
NKX2-1	1
FANCF	1
ZMYM2	1
ABCB1	1
IGFBP3	1
FGFR1	1
ITK	1
PTPRD	1
POU2AF1	1
MME	1
FIP1L1	1
SOX9	1
PAX7	1
FOXO3	1
SMO	1
PRKACA	1
EML4	1
UHRF1	1
NUP98	1
HNRNPA2B1	1
FUS	1
ATIC	1
EPHX1	1
FGFR3	1
MAP2K4	1
IKBKB	1
PTGS2	1
CARD11	1
NSD2	1
STIL	1
IL1B	1
TRIP11	1
IRS4	1
APC	1
PTEN	1
GNA11	1
PER1	1
CDC73	1
ARNT	1
CANT1	1
PIN1	1
PPARG	1
CELSR2	1
CD79B	1
TRAF7	1
BCORL1	1
RASSF2	1
VDR	1
NUMA1	1
STRN	1
IL2	1
BRCA2	1
NDRG1	1
NUP214	1
ZFHX3	1
ESR1	1
NTRK1	1
FANCD2	1
FBLN2	1
NFKB2	1
PMS1	1
MYD88	1
MMP9	1
FOXO4	1
PRDM1	1
ZNF384	1
MYB	1
PTHLH	1
SDC4	1
HLA-A	1
CTCF	1
POLE	1
JUN	1
BCL9	1
CDK12	1
EXT2	1
NOS2	1
MYOD1	1
NKD2	1
MAPK8	1
RB1	1
CACNA1D	1
FSTL3	1
THBS1	1
TFPT	1
WNK2	1
MSN	1
USP6	1
TGFB1	1
TAF15	1
CXCL12	1
MYH11	1
YWHAE	1
MTHFR	1
GNRHR	1
SFPQ	1
SRSF2	1
XRCC6	1
PRPF40B	1
PRDM16	1
PLAU	1
FASLG	1
SDHD	1
IDH1	1
MLLT3	1
ARID1A	1
FANCG	1
HYAL2	1
GRM3	1
FLI1	1
GOPC	1
EPHA7	1
SMARCB1	1
GATA1	1
STK11	1
GATA3	1
ARID1B	1
TCEA1	1
TERT	1
ABI1	1
HMGA2	1
ALDH2	1
COX8A	1
SMAD4	1
HSP90AA1	1
PIK3CA	1
U2AF1	1
PIK3CB	1
RUNX3	1
KEAP1	1
MYO5A	1
COL3A1	1
BRD3	1
IDH2	1
RET	1
CCDC6	1
NSD3	1
RBM10	1
LMNA	1
BCL2	1
WRN	1
CCNE1	1
HOXB13	1
MSH6	1
AR	1
NCKIPSD	1
NOS3	1
MITF	1
IL6ST	1
BUB1B	1
PPFIBP1	1
MTCP1	1
HIF1A	1
PSIP1	1
MSH2	1
TCL1A	1
ARHGEF12	1
GOLGA5	1
GLI1	1
NCOA1	1
QKI	1
TSHR	1
SH3GL1	1
PAX3	1
SHTN1	1
BCL11B	1
KRAS	1
MAP2K2	1
CBL	1
MAP2K1	1
CRP	1
PPM1D	1
MET	1
EPAS1	1
CASP8	1
ARHGAP5	1
PTPN11	1
WWTR1	1
KAT6A	1
RBM15	1
SSX2	1
WIF1	1
POT1	1
ITGAV	1
CNOT3	1
AKAP9	1
TAL1	1
EIF4A2	1
GRPR	1
FANCE	1
JAK2	1
SIX2	1
AKT3	1
SH2B3	1
CD74	1
ZBTB16	1
CIC	1
RANBP2	1
PAX5	1
HERPUD1	1
NOTCH2	1
SUZ12	1
TEC	1
MTOR	1
ATP1A1	1
ROBO2	1
KDM6A	1
NCOA3	1
NAB2	1
PTCH1	1
SS18	1
MDM2	1
AURKA	1
NQO1	1
HMGA1	1
CKB	1
XPA	1
RAF1	1
PTPN6	1
SIRPA	1
SPINT2	1
DGCR8	1
TRIM27	1
MAX	1
HGF	1
ARID2	1
SOCS1	1
TOP1	1
LCN2	1
RAD51B	1
FOXO1	1
NCOR1	1
DNMT1	1
CTNNB1	1
TPR	1
MMP7	1
SMARCE1	1
RAD51	1
PAFAH1B2	1
TNFRSF14	1
LEF1	1
WT1	1
TYMS	1
PABPC1	1
CYP1A2	1
TG	1
ZNRF3	1
BRAF	1
ERCC1	1
SETD2	1
A1CF	1
KIAA1549	1
BRMS1	1
BIRC3	1
RPL22	1
TFEB	1
PRF1	1
CALR	1
FKBP9	1
CYLD	1
SHBG	1
HNF1A	1
JAK3	1
EBF1	1
HIP1	1
BMPR1A	1
BCL9L	1
HSP90AB1	1
NFIB	1
ERCC2	1
MPO	1
ACSL3	1
CIITA	1
FOXR1	1
FAS	1
GNAS	1
SFRP4	1
ATRX	1
MMP14	1
PBRM1	1
KTN1	1
SRGAP3	1
GSTP1	1
COMT	1
ERCC3	1
MUTYH	1
CDKN1A	1
FASN	1
SPOP	1
AXIN1	1
KLK3	1
LSM14A	1
ERBB3	1
POLR2E	1
STAG1	1
STAT5B	1
HOXA9	1
ASXL1	1
PSCA	1
NR4A3	1
CEBPA	1
DCTN1	1
CDH10	1
MAML2	1
MKI67	1
ZNF479	1
SOX17	1
CLIP1	1
GRP	1
PICALM	1
CYP1B1	1
MAF	1
CCR7	1
TET1	1
OLIG2	1
BAP1	1
XRCC1	1
ANK1	1
MRPS18C	1
GMPS	1
SOD2	1
TNFAIP3	1
CBFA2T3	1
PAX8	1
ETV4	1
NACA	1
BCR	1
CRTC3	1
CD274	1
GNAQ	1
EPHA3	1
JAK1	1
SPEN	1
FLCN	1
TP63	1
TFF1	1
ZRSR2	1
TRIM24	1
KIT	1
MAP3K13	1
SUFU	1
MAPK1	1
XRCC3	1
CCND3	1
LMO2	1
FANCA	1
NKX3-1	1
MTRR	1
EDN1	1
KAT6B	1
KCNJ5	1
PCNA	1
DDX6	1
MUC16	1
CLTCL1	1
GPHN	1
RFWD3	1
RUNX1T1	1
XPC	1
CDK6	1
ETNK1	1
CYP17A1	1
IKZF1	1
VEGFC	1
REL	1
BLM	1
DDB2	1
CNBP	1
CDH11	1
DPYD	1
ZCCHC8	1
CSF2	1
EGFR	1
KL	1
GRIN2A	1
ELF3	1
SDHA	1
CRLF2	1
BTK	1
KLF4	1
LGALS3	1
STAG2	1
ESR2	1
FEN1	1
NME1	1
SKI	1
BRIP1	1
IGF2BP2	1
TFE3	1
CEP89	1
MGMT	1
POLD1	1
AFF1	1
FCGR2B	1
EGR1	1
FNBP1	1
RAD21	1
EGF	1
CSF1R	1
PCM1	1
CREBBP	1
TNF	1
FGFR4	1
SET	1
NBN	1
SMARCA4	1
EDEM1	1
