DiseaseName	DiseaseID	ParentIDs	Synonyms
10p Deletion Syndrome (Partial)	MESH:C538288	MESH:D002872|MESH:D025063	Chromosome 10, 10p- Partial|Chromosome 10, monosomy 10p|Chromosome 10, Partial Deletion (short arm)|Monosomy 10p
13q deletion syndrome	MESH:C535484	MESH:D002872|MESH:D025063	Chromosome 13q deletion|Chromosome 13q deletion syndrome|Chromosome 13q monosomy|Chromosome 13q syndrome|Deletion 13q|Deletion 13q syndrome|Monosomy 13q|Monosomy 13q syndrome|Orbeli's syndrome|Orbeli syndrome
15q24 Microdeletion	MESH:C579849	MESH:D002872|MESH:D008607|MESH:D025063	15q24 Deletion|15q24 Microdeletion Syndrome|Interstitial Deletion of Chromosome 15q24
16p11.2 Deletion Syndrome	MESH:C579850	MESH:D001321|MESH:D002872|MESH:D008607|MESH:D025063	
17,20-Lyase Deficiency, Isolated	MESH:C567076	MESH:D000312	17-Alpha-Hydroxylase-17,20-Lyase Deficiency, Combined Complete|17-Alpha-Hydroxylase-17,20-Lyase Deficiency, Combined Partial
17-Hydroxysteroid Dehydrogenase Deficiency	MESH:C537805	MESH:D006177|MESH:D043202|MESH:D058490	17 alpha ketosteroid reductase deficiency of testis|17-Beta Hydroxysteroid Dehydrogenase 3 Deficiency|17 Beta-hydroxysteroid dehydrogenase deficiency|17-Beta Hydroxysteroid Dehydrogenase III Deficiency|17-Ketosteroid Reductase Deficiency Of Testis|17-Ksr Deficiency|Male pseudohermaphroditism with gynecomastia|Neutral 17 beta-hydroxysteroid oxidoreductase deficiency|Neutral 17-Beta-Hydroxysteroid Oxidoreductase Deficiency|Pseudohermaphroditism, Male, with Gynecomastia|PSEUDOHERMAPHRODITISM, MALE, WITH GYNECOMASTIA POLYCYSTIC OVARY SYNDROME DUE TO 17-KETOSTEROID REDUCTASE DEFICIENCY, INCLUDED
18-Hydroxylase deficiency	MESH:C537806	MESH:D006994	18-alpha hydroxylase deficiency|18-HYDROXYLASE DEFICIENCY|18-Oxidase Deficiency|Aldosterone deficiency 1|Aldosterone deficiency due to defect in 18-hydroxylase|ALDOSTERONE DEFICIENCY DUE TO DEFECT IN STEROID 18-HYDROXYLASE|ALDOSTERONE DEFICIENCY DUE TO DEFICIENCY OF STEROID 18-OXIDASE|ALDOSTERONE DEFICIENCY I|ALDOSTERONE DEFICIENCY II|Aldosterone Deficiency Type I|Aldosterone Deficiency Type II|CMO I Deficiency|CMO II Deficiency|Corticosterone methyloxidase type 1 deficiency|Corticosterone Methyloxidase Type I Deficiency|Corticosterone Methyloxidase Type II Deficiency|FHHA1A|FHHA1B|HYPERRENINEMIC HYPOALDOSTERONISM, FAMILIAL, 1|Hyperreninemic Hypoaldosteronism, Familial, Type I|Steroid 18-Hydroxylase Deficiency|Steroid 18-Oxidase Deficiency
22q11 Deletion Syndrome	MESH:D058165	MESH:D000015|MESH:D006330|MESH:D007011|MESH:D019465|MESH:D025063|MESH:D044148	22q11 Deletion Syndromes|Deletion Syndrome, 22q11|Deletion Syndromes, 22q11|Syndrome, 22q11 Deletion|Syndromes, 22q11 Deletion
2,4-Dienoyl-CoA Reductase Deficiency	MESH:C565624	MESH:D008052	DECRD
2-hydroxyethyl methacrylate sensitization	MESH:C535305	MESH:D017449	Sensitization to 2-hydroxyethyl methacrylate
