Term_ID,Term_Name,P_value,Gene_Count,Term_Size,Query_Size,Genes
GO:0051239,regulation of multicellular organismal process,7.244036139590775e-63,125,2928,178,"['BMP4', 'TGFB3', 'ROR2', 'GJA1', 'TGFB2', 'BMP7', 'GATA4', 'ENG', 'TBX1', 'INSR', 'BMP2', 'WNT5A', 'ANXA1', 'PIK3CD', 'CAPN3', 'LIMK1', 'SHH', 'APOE', 'ITGB3', 'FYN', 'LIF', 'NOG', 'LYN', 'MSX1', 'ARRB1', 'NME2', 'FOXP3', 'VCAM1', 'PRKD1', 'MEF2C', 'SORL1', 'GP1BB', 'NTRK2', 'PRKCA', 'SNAI1', 'ZAP70', 'GRIN1', 'CCL5', 'AGRN', 'AGT', 'SOS1', 'YAP1', 'PRKCD', 'ENPP1', 'JUP', 'F2', 'AXL', 'FOS', 'F2R', 'TRPV4', 'APP', 'KCNQ1', 'PTPN22', 'IL12B', 'TWIST1', 'PROX1', 'PLXND1', 'HESX1', 'MAPK3', 'CACNA1G', 'FGF1', 'IL2RG', 'PIK3CG', 'NKX2-5', 'KITLG', 'LDLR', 'GTF2IRD1', 'DKK1', 'DMPK', 'ADA', 'TGFBR1', 'RORA', 'TBX2', 'NOD2', 'CD4', 'SHANK3', 'CD3E', 'MAP1B', 'SCN5A', 'PPARD', 'SMARCA2', 'KDM5B', 'WNT7A', 'TIAM1', 'MECP2', 'NLRP3', 'HNF4A', 'CSF1', 'JAG1', 'PPARGC1A', 'WNT3A', 'ZFPM2', 'AIRE', 'ABCA1', 'SOX4', 'STAT1', 'CDKL5', 'WNT1', 'CDKN1C', 'TYROBP', 'DOCK8', 'POLR3A', 'ALMS1', 'EPHA4', 'IFNG', 'WNT4', 'FMR1', 'WNT10B', 'PTCH2', 'DLG1', 'MEFV', 'HLA-DRB1', 'CX3CR1', 'FN1', 'NFKBIA', 'MAD2L2', 'KCNJ2', 'ALOX5', 'PTK2B', 'FBN1', 'TLR2', 'ADM', 'CLCF1', 'IL23R', 'SNAI2']"
GO:0051240,positive regulation of multicellular organismal process,1.363454221883393e-62,102,1644,178,"['BMP4', 'TGFB3', 'ROR2', 'GJA1', 'TGFB2', 'BMP7', 'GATA4', 'ENG', 'TBX1', 'BMP2', 'WNT5A', 'ANXA1', 'PIK3CD', 'CAPN3', 'LIMK1', 'SHH', 'APOE', 'ITGB3', 'FYN', 'LIF', 'NOG', 'LYN', 'MSX1', 'NME2', 'FOXP3', 'VCAM1', 'PRKD1', 'MEF2C', 'SORL1', 'GP1BB', 'NTRK2', 'PRKCA', 'SNAI1', 'ZAP70', 'CCL5', 'AGRN', 'AGT', 'YAP1', 'JUP', 'F2', 'AXL', 'FOS', 'F2R', 'TRPV4', 'APP', 'KCNQ1', 'PTPN22', 'IL12B', 'TWIST1', 'PROX1', 'PLXND1', 'FGF1', 'IL2RG', 'PIK3CG', 'NKX2-5', 'KITLG', 'DKK1', 'ADA', 'TGFBR1', 'RORA', 'TBX2', 'NOD2', 'CD4', 'SHANK3', 'CD3E', 'MAP1B', 'SMARCA2', 'KDM5B', 'WNT7A', 'TIAM1', 'MECP2', 'NLRP3', 'CSF1', 'JAG1', 'PPARGC1A', 'WNT3A', 'ZFPM2', 'AIRE', 'ABCA1', 'SOX4', 'STAT1', 'CDKL5', 'WNT1', 'TYROBP', 'DOCK8', 'POLR3A', 'ALMS1', 'EPHA4', 'IFNG', 'WNT4', 'WNT10B', 'MEFV', 'HLA-DRB1', 'CX3CR1', 'FN1', 'MAD2L2', 'ALOX5', 'PTK2B', 'TLR2', 'ADM', 'CLCF1', 'IL23R']"
GO:0051094,positive regulation of developmental process,9.660216528539512e-58,91,1331,178,"['BMP4', 'TGFB3', 'ROR2', 'GJA1', 'TGFB2', 'BMP7', 'GATA4', 'ENG', 'TBX1', 'INSR', 'BMP2', 'WNT5A', 'ANXA1', 'PIK3CD', 'CAPN3', 'LIMK1', 'SHH', 'APOE', 'ITGB3', 'LIF', 'LAMB2', 'NOG', 'LYN', 'MSX1', 'NME2', 'FOXP3', 'PRKD1', 'MEF2C', 'SORL1', 'NTRK2', 'PRKCA', 'SNAI1', 'ZAP70', 'LRP5', 'AGRN', 'AGT', 'ZEB2', 'YAP1', 'JUP', 'AXL', 'FOS', 'IL12B', 'TWIST1', 'PROX1', 'PLXND1', 'FGF1', 'IL2RG', 'NKX2-5', 'KITLG', 'DKK1', 'ADA', 'TGFBR1', 'TBX2', 'CD4', 'SHANK3', 'MAP1B', 'PPARD', 'SMARCA2', 'KDM5B', 'WNT7A', 'TIAM1', 'MECP2', 'NLRP3', 'CSF1', 'JAG1', 'PPARGC1A', 'WNT3A', 'ZFPM2', 'SOX4', 'STAT1', 'CDKL5', 'TCF4', 'WNT1', 'TYROBP', 'EPHA4', 'IFNG', 'WNT4', 'FMR1', 'WNT10B', 'PTCH2', 'HLA-DRB1', 'CX3CR1', 'FN1', 'MAD2L2', 'ALOX5', 'PTK2B', 'TLR2', 'ADM', 'CLCF1', 'IL23R', 'SNAI2']"
GO:0050793,regulation of developmental process,1.5271291379529146e-56,112,2453,178,"['BMP4', 'TGFB3', 'ROR2', 'GJA1', 'TGFB2', 'BMP7', 'GATA4', 'ENG', 'TBX1', 'INSR', 'BMP2', 'WNT5A', 'ANXA1', 'PIK3CD', 'CAPN3', 'LIMK1', 'SHH', 'APOE', 'ITGB3', 'FYN', 'LIF', 'LAMB2', 'NOG', 'LYN', 'APC2', 'MSX1', 'NME2', 'FOXP3', 'PRKD1', 'MEF2C', 'SORL1', 'NTRK2', 'PRKCA', 'SNAI1', 'ZAP70', 'LRP5', 'AGRN', 'AGT', 'SOS1', 'ZEB2', 'YAP1', 'ENPP1', 'JUP', 'F2', 'AXL', 'FOS', 'TRPV4', 'APP', 'IL12B', 'TWIST1', 'PROX1', 'NOTCH3', 'PLXND1', 'HESX1', 'FGF1', 'IL2RG', 'PIK3CG', 'NKX2-5', 'KITLG', 'LDLR', 'DKK1', 'DMPK', 'ADA', 'TGFBR1', 'RORA', 'TBX2', 'CD4', 'SHANK3', 'MAP1B', 'PPARD', 'SMARCA2', 'KDM5B', 'WNT7A', 'TIAM1', 'MECP2', 'NLRP3', 'HNF4A', 'CSF1', 'JAG1', 'PPARGC1A', 'WNT3A', 'ZFPM2', 'ABCA1', 'SOX4', 'STAT1', 'CDKL5', 'TCF4', 'WNT1', 'CDKN1C', 'TYROBP', 'EPHA4', 'CDH2', 'IFNG', 'WNT4', 'FMR1', 'WNT10B', 'PTCH2', 'DLG1', 'HLA-DRB1', 'CX3CR1', 'COL5A1', 'FN1', 'NFKBIA', 'MAD2L2', 'ALOX5', 'PTK2B', 'FBN1', 'TLR2', 'ADM', 'CLCF1', 'IL23R', 'SNAI2']"
GO:0008283,cell population proliferation,2.4099717255247675e-56,104,2009,178,"['BMP4', 'TGFB3', 'GJA1', 'TGFB2', 'BMP7', 'ENG', 'TBX1', 'INSR', 'BMP2', 'WNT5A', 'ANXA1', 'PIK3CD', 'SHH', 'APOE', 'ITGB3', 'FYN', 'LIF', 'NOG', 'LYN', 'MSX1', 'NME2', 'FOXP3', 'VCAM1', 'PRKD1', 'MEF2C', 'NTRK2', 'PRKCA', 'ZAP70', 'LRP5', 'CCL5', 'AGT', 'SOS1', 'ZEB2', 'YAP1', 'PRKCD', 'JUP', 'F2', 'FOS', 'F2R', 'APP', 'PTPN22', 'IL12B', 'TWIST1', 'IRF6', 'PROX1', 'NOTCH3', 'IRS1', 'MAPK3', 'FGF1', 'PIK3CG', 'NKX2-5', 'CASK', 'KITLG', 'ADA', 'TGFBR1', 'RORA', 'TBX2', 'NOD2', 'SHANK3', 'STAT4', 'CD3E', 'SCN5A', 'PPARD', 'SMARCA2', 'KDM5B', 'SHMT2', 'WNT7A', 'TIAM1', 'MECP2', 'HNF4A', 'CSF1', 'JAG1', 'PPARGC1A', 'WNT3A', 'ZFPM2', 'FGF17', 'SOX4', 'STAT1', 'KCNH1', 'WNT1', 'CDKN1C', 'TYROBP', 'DOCK8', 'EPHA4', 'CDH2', 'DCHS1', 'IFNG', 'WNT4', 'WNT10B', 'DLG1', 'HLA-DRB1', 'CX3CR1', 'FN1', 'NFKBIA', 'ALOX5', 'PTK2B', 'PKD2', 'RERE', 'ATP7A', 'TLR2', 'ADM', 'CLCF1', 'IL23R', 'SNAI2']"
GO:0045595,regulation of cell differentiation,6.538914538504833e-56,95,1577,178,"['BMP4', 'TGFB3', 'ROR2', 'GJA1', 'TGFB2', 'BMP7', 'ENG', 'TBX1', 'BMP2', 'WNT5A', 'ANXA1', 'CAPN3', 'LIMK1', 'SHH', 'ITGB3', 'LIF', 'LAMB2', 'NOG', 'LYN', 'APC2', 'MSX1', 'NME2', 'FOXP3', 'PRKD1', 'MEF2C', 'SORL1', 'NTRK2', 'PRKCA', 'SNAI1', 'ZAP70', 'LRP5', 'AGT', 'SOS1', 'ZEB2', 'YAP1', 'ENPP1', 'F2', 'AXL', 'FOS', 'TRPV4', 'APP', 'IL12B', 'TWIST1', 'PROX1', 'NOTCH3', 'PLXND1', 'IL2RG', 'NKX2-5', 'KITLG', 'LDLR', 'DKK1', 'DMPK', 'ADA', 'TGFBR1', 'RORA', 'CD4', 'SHANK3', 'MAP1B', 'PPARD', 'SMARCA2', 'WNT7A', 'TIAM1', 'MECP2', 'NLRP3', 'CSF1', 'JAG1', 'WNT3A', 'ZFPM2', 'ABCA1', 'SOX4', 'STAT1', 'CDKL5', 'TCF4', 'WNT1', 'CDKN1C', 'TYROBP', 'EPHA4', 'IFNG', 'WNT4', 'WNT10B', 'PTCH2', 'HLA-DRB1', 'CX3CR1', 'COL5A1', 'FN1', 'NFKBIA', 'MAD2L2', 'ALOX5', 'PTK2B', 'FBN1', 'TLR2', 'ADM', 'CLCF1', 'IL23R', 'SNAI2']"
GO:0007166,cell surface receptor signaling pathway,7.049322856663567e-56,117,2803,178,"['BMP4', 'TGFB3', 'ROR2', 'TGFB2', 'BMP7', 'GATA4', 'ENG', 'TBX1', 'INSR', 'BMP2', 'WNT5A', 'ANXA1', 'PIK3CD', 'LIMK1', 'SHH', 'APOE', 'ITGB3', 'FYN', 'LIF', 'LAMB2', 'NOG', 'LYN', 'APC2', 'MSX1', 'FZD2', 'DACT1', 'ARRB1', 'NME2', 'FOXP3', 'PRKD1', 'MEF2C', 'SORL1', 'GP1BB', 'NTRK2', 'ICAM1', 'PRKCA', 'SNAI1', 'ZAP70', 'GRIN1', 'LRP5', 'CCL5', 'AGT', 'SOS1', 'ZEB2', 'YAP1', 'PRKCD', 'ENPP1', 'JUP', 'F2', 'AXL', 'FOS', 'F2R', 'APP', 'PTPN22', 'IL12B', 'NOTCH3', 'IRS1', 'PLXND1', 'CASP10', 'HESX1', 'MAPK3', 'FGF1', 'IL2RG', 'NKX2-5', 'KITLG', 'GPC4', 'DKK1', 'DMPK', 'ADA', 'TGFBR1', 'RORA', 'TBX2', 'NOD2', 'COL1A2', 'CD4', 'SHANK3', 'STAT4', 'CD3E', 'ITGB4', 'WNT7A', 'TIAM1', 'MECP2', 'LRP6', 'HNF4A', 'CSF1', 'JAG1', 'WNT3A', 'FGF17', 'ABCA1', 'PRKACB', 'SOX4', 'STAT1', 'WNT1', 'CDKN1C', 'TYROBP', 'COL4A5', 'KIF7', 'EPHA4', 'CDH2', 'IFNG', 'WNT4', 'FMR1', 'WNT10B', 'PTCH2', 'HLA-DRB1', 'CX3CR1', 'FN1', 'NFKBIA', 'MAD2L2', 'PTK2B', 'PKD2', 'FBN1', 'TLR2', 'CLCF1', 'IL23R', 'SNAI2', 'LTBP2']"
GO:2000026,regulation of multicellular organismal development,2.863192561566898e-54,90,1413,178,"['BMP4', 'ROR2', 'GJA1', 'TGFB2', 'BMP7', 'GATA4', 'ENG', 'TBX1', 'INSR', 'BMP2', 'WNT5A', 'ANXA1', 'PIK3CD', 'CAPN3', 'LIMK1', 'SHH', 'ITGB3', 'LIF', 'NOG', 'LYN', 'MSX1', 'NME2', 'FOXP3', 'PRKD1', 'MEF2C', 'SORL1', 'NTRK2', 'PRKCA', 'ZAP70', 'AGRN', 'SOS1', 'YAP1', 'ENPP1', 'JUP', 'F2', 'AXL', 'FOS', 'IL12B', 'TWIST1', 'PROX1', 'PLXND1', 'HESX1', 'FGF1', 'IL2RG', 'PIK3CG', 'NKX2-5', 'KITLG', 'LDLR', 'DKK1', 'ADA', 'TGFBR1', 'TBX2', 'CD4', 'SHANK3', 'MAP1B', 'PPARD', 'SMARCA2', 'WNT7A', 'TIAM1', 'MECP2', 'NLRP3', 'HNF4A', 'CSF1', 'JAG1', 'WNT3A', 'ZFPM2', 'SOX4', 'STAT1', 'CDKL5', 'WNT1', 'CDKN1C', 'TYROBP', 'EPHA4', 'IFNG', 'WNT4', 'WNT10B', 'PTCH2', 'DLG1', 'HLA-DRB1', 'CX3CR1', 'FN1', 'NFKBIA', 'ALOX5', 'PTK2B', 'FBN1', 'TLR2', 'ADM', 'CLCF1', 'IL23R', 'SNAI2']"
GO:0007275,multicellular organism development,1.0158404148821095e-53,139,4658,178,"['BMP4', 'TGFB3', 'ROR2', 'GJA1', 'TGFB2', 'BMP7', 'GATA4', 'ENG', 'TBX1', 'INSR', 'BMP2', 'WNT5A', 'ANXA1', 'PIK3CD', 'CAPN3', 'LIMK1', 'SHH', 'APOE', 'ITGB3', 'FYN', 'LIF', 'LAMB2', 'NOG', 'LYN', 'APC2', 'MSX1', 'FZD2', 'DACT1', 'NME2', 'FOXP3', 'VCAM1', 'PRKD1', 'MEF2C', 'SORL1', 'NTRK2', 'PRKCA', 'SNAI1', 'ZAP70', 'GRIN1', 'LRP5', 'MYH3', 'AGRN', 'AGT', 'ANTXR1', 'SOS1', 'ZEB2', 'YAP1', 'ENPP1', 'JUP', 'F2', 'AXL', 'FOS', 'TRPV4', 'APP', 'KCNQ1', 'IL12B', 'TWIST1', 'IRF6', 'PROX1', 'NOTCH3', 'XYLT1', 'PLXND1', 'HESX1', 'MAPK3', 'CACNA1G', 'FGF1', 'IL2RG', 'PIK3CG', 'NKX2-5', 'KITLG', 'LDLR', 'GPC4', 'DKK1', 'ADA', 'TGFBR1', 'RORA', 'TBX2', 'TAF1', 'COL1A2', 'CD4', 'SHANK3', 'CD3E', 'MAP1B', 'BPTF', 'SCN5A', 'PPARD', 'SMARCA2', 'KDM5B', 'ITGB4', 'WNT7A', 'TIAM1', 'MECP2', 'NLRP3', 'LRP6', 'HNF4A', 'CSF1', 'JAG1', 'WNT3A', 'ZFPM2', 'AIRE', 'FGF17', 'PRKACB', 'SOX4', 'STAT1', 'CDKL5', 'TCF4', 'WNT1', 'CDKN1C', 'AIFM1', 'TYROBP', 'EPHA4', 'CDH2', 'DCHS1', 'KCNJ11', 'IFNG', 'WNT4', 'FMR1', 'WNT10B', 'RBBP8', 'PTCH2', 'DLG1', 'HLA-DRB1', 'CUL4B', 'CX3CR1', 'COL5A1', 'FN1', 'NFKBIA', 'MAD2L2', 'ALOX5', 'PTK2B', 'PKD2', 'RERE', 'FBN1', 'ATP7A', 'TLR2', 'ADM', 'CLCF1', 'IL23R', 'SNAI2']"
GO:0048522,positive regulation of cellular process,3.666239164672182e-51,149,5886,178,"['BMP4', 'TGFB3', 'ROR2', 'GJA1', 'TGFB2', 'BMP7', 'GATA4', 'ENG', 'TBX1', 'INSR', 'BMP2', 'WNT5A', 'ANXA1', 'PIK3CD', 'CAPN3', 'LIMK1', 'SHH', 'APOE', 'ITGB3', 'FYN', 'LIF', 'LAMB2', 'NOG', 'LYN', 'APC2', 'MSX1', 'FZD2', 'DACT1', 'ARRB1', 'NME2', 'FOXP3', 'VCAM1', 'PRKD1', 'MEF2C', 'SORL1', 'GP1BB', 'NTRK2', 'ICAM1', 'PRKCA', 'SNAI1', 'ZAP70', 'GRIN1', 'LRP5', 'CCL5', 'AGRN', 'AGT', 'SOS1', 'ZEB2', 'YAP1', 'PRKCD', 'JUP', 'F2', 'AXL', 'FOS', 'F2R', 'TRPV4', 'APP', 'KCNQ1', 'PTPN22', 'IL12B', 'TWIST1', 'IRF6', 'PROX1', 'NOTCH3', 'IRS1', 'PLXND1', 'CASP10', 'MAPK3', 'FGF1', 'IL2RG', 'PIK3CG', 'NKX2-5', 'CASK', 'KITLG', 'LDLR', 'DKK1', 'ADA', 'TGFBR1', 'RORA', 'TBX2', 'NOD2', 'TAF1', 'CD4', 'SHANK3', 'STAT4', 'CD3E', 'MAP1B', 'BPTF', 'SCN5A', 'PPARD', 'SMARCA2', 'KDM5B', 'SHMT2', 'WNT7A', 'TIAM1', 'MECP2', 'NFIX', 'NLRP3', 'LRP6', 'HNF4A', 'CSF1', 'JAG1', 'PPARGC1A', 'WNT3A', 'ZFPM2', 'AIRE', 'FGF17', 'ABCA1', 'SOX4', 'STAT1', 'CDKL5', 'TCF4', 'WNT1', 'CDKN1C', 'AIFM1', 'TYROBP', 'DOCK8', 'POLR3A', 'ALMS1', 'KIF7', 'EPHA4', 'CDH2', 'KCNJ11', 'IFNG', 'WNT4', 'FMR1', 'WNT10B', 'PTCH2', 'DLG1', 'MEFV', 'HLA-DRB1', 'CUL4B', 'CX3CR1', 'RFC2', 'FN1', 'NFKBIA', 'MAD2L2', 'KCNJ2', 'ALOX5', 'PTK2B', 'PKD2', 'RERE', 'ATP7A', 'TLR2', 'KANSL1', 'ADM', 'CLCF1', 'IL23R', 'SNAI2']"
