Term_ID,Term_Name,P_value,Gene_Count,Term_Size,Query_Size,Genes
GO:0009986,cell surface,7.528865789048619e-22,46,904,178,"['TGFB3', 'ROR2', 'ENG', 'INSR', 'BMP2', 'WNT5A', 'ANXA1', 'SHH', 'ITGB3', 'LYN', 'VCAM1', 'SORL1', 'ICAM1', 'GRIN1', 'ANTXR1', 'ENPP1', 'F2', 'AXL', 'F2R', 'TRPV4', 'APP', 'IL12B', 'NOTCH3', 'IL2RG', 'LDLR', 'GPC4', 'ADA', 'TGFBR1', 'NOD2', 'CD4', 'CD3E', 'SCN5A', 'ITGB4', 'WNT7A', 'LRP6', 'WNT3A', 'ABCA1', 'WNT1', 'TYROBP', 'EPHA4', 'CDH2', 'WNT4', 'HLA-DRB1', 'CX3CR1', 'TLR2', 'IL23R']"
GO:0071944,cell periphery,3.4282957305467604e-18,110,6269,178,"['TGFB3', 'ROR2', 'GJA1', 'TGFB2', 'BMP7', 'ENG', 'INSR', 'BMP2', 'WNT5A', 'ANXA1', 'PIK3CD', 'CAPN3', 'SHH', 'APOE', 'ITGB3', 'FYN', 'LAMB2', 'LYN', 'APC2', 'FZD2', 'ARRB1', 'NME2', 'VCAM1', 'PRKD1', 'KCNN3', 'SORL1', 'GP1BB', 'NTRK2', 'ICAM1', 'PRKCA', 'ZAP70', 'GRIN1', 'LRP5', 'AGRN', 'AGT', 'ANTXR1', 'SOS1', 'PRKCD', 'ENPP1', 'JUP', 'F2', 'AXL', 'F2R', 'TRPV4', 'APP', 'KCNQ1', 'PTPN22', 'IL12B', 'NOTCH3', 'IRS1', 'PLXND1', 'CASP10', 'MAPK3', 'CACNA1G', 'FGF1', 'IL2RG', 'PIK3CG', 'CASK', 'KITLG', 'LDLR', 'GPC4', 'DKK1', 'DMPK', 'ADA', 'TGFBR1', 'NCF2', 'NOD2', 'COL1A2', 'CD4', 'SHANK3', 'CD3E', 'MAP1B', 'SCN5A', 'CLIP2', 'ITGB4', 'WNT7A', 'TIAM1', 'LRP6', 'CSF1', 'JAG1', 'WNT3A', 'ABCA1', 'PRKACB', 'KCNH1', 'CDKL5', 'WNT1', 'TYROBP', 'DOCK8', 'COL4A5', 'EPHA4', 'CDH2', 'DCHS1', 'KCNJ11', 'WNT4', 'FMR1', 'PTCH2', 'DLG1', 'HLA-DRB1', 'CX3CR1', 'COL5A1', 'FN1', 'NFKBIA', 'KCNJ2', 'PTK2B', 'PKD2', 'FBN1', 'ATP7A', 'TLR2', 'IL23R', 'LTBP2']"
GO:0098797,plasma membrane protein complex,2.4656854938048975e-15,35,723,178,"['GJA1', 'INSR', 'BMP2', 'ITGB3', 'LYN', 'APC2', 'VCAM1', 'GP1BB', 'PRKCA', 'ZAP70', 'GRIN1', 'LRP5', 'JUP', 'KCNQ1', 'IRS1', 'CASP10', 'CACNA1G', 'TGFBR1', 'NCF2', 'CD4', 'CD3E', 'SCN5A', 'ITGB4', 'LRP6', 'WNT3A', 'KCNH1', 'CDH2', 'DCHS1', 'KCNJ11', 'DLG1', 'HLA-DRB1', 'KCNJ2', 'PTK2B', 'TLR2', 'IL23R']"
GO:0030054,cell junction,1.1575071278599203e-14,59,2236,178,"['ROR2', 'GJA1', 'ENG', 'WNT5A', 'ANXA1', 'LIMK1', 'APOE', 'ITGB3', 'FYN', 'LAMB2', 'NOG', 'LYN', 'APC2', 'FZD2', 'DACT1', 'PRKD1', 'MEF2C', 'NTRK2', 'ICAM1', 'ZAP70', 'GRIN1', 'AGRN', 'YAP1', 'PRKCD', 'JUP', 'F2R', 'TRPV4', 'APP', 'PLXND1', 'MAPK3', 'CACNA1G', 'CASK', 'GPC4', 'KIF1B', 'ADA', 'TGFBR1', 'SHANK3', 'CD3E', 'MAP1B', 'SCN5A', 'ITGB4', 'WNT7A', 'TIAM1', 'MECP2', 'LRP6', 'JAG1', 'WNT3A', 'KCNH1', 'CDKL5', 'COL4A5', 'EPHA4', 'CDH2', 'KCNJ11', 'FMR1', 'DLG1', 'KCNJ2', 'PTK2B', 'PKD2', 'ATP7A']"
GO:0005886,plasma membrane,6.477677900563693e-14,98,5783,178,"['TGFB3', 'ROR2', 'GJA1', 'ENG', 'INSR', 'BMP2', 'WNT5A', 'ANXA1', 'PIK3CD', 'CAPN3', 'SHH', 'APOE', 'ITGB3', 'FYN', 'LYN', 'APC2', 'FZD2', 'ARRB1', 'VCAM1', 'PRKD1', 'KCNN3', 'SORL1', 'GP1BB', 'NTRK2', 'ICAM1', 'PRKCA', 'ZAP70', 'GRIN1', 'LRP5', 'AGRN', 'ANTXR1', 'SOS1', 'PRKCD', 'ENPP1', 'JUP', 'F2', 'AXL', 'F2R', 'TRPV4', 'APP', 'KCNQ1', 'PTPN22', 'IL12B', 'NOTCH3', 'IRS1', 'PLXND1', 'CASP10', 'MAPK3', 'CACNA1G', 'IL2RG', 'PIK3CG', 'CASK', 'KITLG', 'LDLR', 'GPC4', 'DKK1', 'DMPK', 'ADA', 'TGFBR1', 'NCF2', 'NOD2', 'CD4', 'SHANK3', 'CD3E', 'MAP1B', 'SCN5A', 'ITGB4', 'WNT7A', 'TIAM1', 'LRP6', 'CSF1', 'JAG1', 'WNT3A', 'ABCA1', 'PRKACB', 'KCNH1', 'CDKL5', 'WNT1', 'TYROBP', 'DOCK8', 'EPHA4', 'CDH2', 'DCHS1', 'KCNJ11', 'WNT4', 'FMR1', 'PTCH2', 'DLG1', 'HLA-DRB1', 'CX3CR1', 'FN1', 'NFKBIA', 'KCNJ2', 'PTK2B', 'PKD2', 'ATP7A', 'TLR2', 'IL23R']"
GO:0005788,endoplasmic reticulum lumen,2.8409307672026386e-11,21,312,178,"['BMP4', 'WNT5A', 'SHH', 'APOE', 'LAMB2', 'F2', 'APP', 'IL12B', 'MAPK3', 'COL1A2', 'CD4', 'WNT7A', 'CSF1', 'WNT3A', 'WNT1', 'COL4A5', 'CDH2', 'WNT4', 'COL5A1', 'FN1', 'FBN1']"
GO:0043235,receptor complex,4.054068153481898e-11,26,527,178,"['ROR2', 'ENG', 'INSR', 'BMP2', 'ITGB3', 'LYN', 'GP1BB', 'NTRK2', 'ZAP70', 'GRIN1', 'LRP5', 'AXL', 'APP', 'IL12B', 'NOTCH3', 'IRS1', 'PLXND1', 'IL2RG', 'LDLR', 'TGFBR1', 'CD4', 'CD3E', 'ITGB4', 'PTK2B', 'TLR2', 'IL23R']"
GO:0045121,membrane raft,7.713555990390813e-11,20,291,178,"['GJA1', 'INSR', 'SHH', 'FYN', 'LYN', 'ICAM1', 'ZAP70', 'F2R', 'APP', 'KCNQ1', 'IRS1', 'MAPK3', 'TGFBR1', 'CD4', 'SCN5A', 'LRP6', 'ABCA1', 'CDH2', 'DLG1', 'TLR2']"
GO:0098857,membrane microdomain,8.223932907636207e-11,20,292,178,"['GJA1', 'INSR', 'SHH', 'FYN', 'LYN', 'ICAM1', 'ZAP70', 'F2R', 'APP', 'KCNQ1', 'IRS1', 'MAPK3', 'TGFBR1', 'CD4', 'SCN5A', 'LRP6', 'ABCA1', 'CDH2', 'DLG1', 'TLR2']"
GO:0031012,extracellular matrix,1.3308723485553993e-10,26,555,178,"['TGFB3', 'TGFB2', 'BMP7', 'WNT5A', 'ANXA1', 'SHH', 'APOE', 'LAMB2', 'ICAM1', 'AGRN', 'AGT', 'F2', 'FGF1', 'CASK', 'GPC4', 'COL1A2', 'ITGB4', 'WNT7A', 'COL4A5', 'CDH2', 'WNT4', 'DLG1', 'COL5A1', 'FN1', 'FBN1', 'LTBP2']"
