Term_ID,Term_Name,P_value,Gene_Count,Term_Size,Query_Size,Genes
KEGG:05200,Pathways in cancer,3.140753127073289e-17,44,527,148,"['BMP4', 'TGFB3', 'TGFB2', 'BMP2', 'WNT5A', 'PIK3CD', 'SHH', 'LAMB2', 'APC2', 'FZD2', 'PRKCA', 'LRP5', 'AGT', 'SOS1', 'JUP', 'F2', 'FOS', 'F2R', 'IL12B', 'NOTCH3', 'MAPK3', 'FGF1', 'IL2RG', 'KITLG', 'TGFBR1', 'STAT4', 'PPARD', 'WNT7A', 'LRP6', 'JAG1', 'WNT3A', 'FGF17', 'PRKACB', 'STAT1', 'WNT1', 'COL4A5', 'KIF7', 'IFNG', 'WNT4', 'WNT10B', 'PTCH2', 'FN1', 'NFKBIA', 'IL23R']"
KEGG:05226,Gastric cancer,7.506340265637218e-11,20,148,148,"['TGFB3', 'TGFB2', 'WNT5A', 'PIK3CD', 'SHH', 'APC2', 'FZD2', 'LRP5', 'SOS1', 'JUP', 'MAPK3', 'FGF1', 'TGFBR1', 'WNT7A', 'LRP6', 'WNT3A', 'FGF17', 'WNT1', 'WNT4', 'WNT10B']"
KEGG:05321,Inflammatory bowel disease,3.186993700482502e-09,13,62,148,"['TGFB3', 'TGFB2', 'FOXP3', 'IL12B', 'IL2RG', 'RORA', 'NOD2', 'STAT4', 'STAT1', 'IFNG', 'HLA-DRB1', 'TLR2', 'IL23R']"
KEGG:05217,Basal cell carcinoma,3.956102804329704e-09,13,63,148,"['BMP4', 'BMP2', 'WNT5A', 'SHH', 'APC2', 'FZD2', 'WNT7A', 'WNT3A', 'WNT1', 'KIF7', 'WNT4', 'WNT10B', 'PTCH2']"
KEGG:05205,Proteoglycans in cancer,4.432645156943781e-09,21,205,148,"['TGFB2', 'WNT5A', 'PIK3CD', 'SHH', 'ITGB3', 'FZD2', 'PRKCA', 'SOS1', 'IL12B', 'TWIST1', 'MAPK3', 'COL1A2', 'WNT7A', 'TIAM1', 'WNT3A', 'PRKACB', 'WNT1', 'WNT4', 'WNT10B', 'FN1', 'TLR2']"
KEGG:05224,Breast cancer,6.180127851523881e-09,18,147,148,"['WNT5A', 'PIK3CD', 'APC2', 'FZD2', 'LRP5', 'SOS1', 'FOS', 'NOTCH3', 'MAPK3', 'FGF1', 'WNT7A', 'LRP6', 'JAG1', 'WNT3A', 'FGF17', 'WNT1', 'WNT4', 'WNT10B']"
KEGG:04390,Hippo signaling pathway,1.87274349085046e-08,18,157,148,"['BMP4', 'TGFB3', 'TGFB2', 'BMP7', 'BMP2', 'WNT5A', 'APC2', 'FZD2', 'YAP1', 'FGF1', 'TGFBR1', 'WNT7A', 'WNT3A', 'WNT1', 'WNT4', 'WNT10B', 'DLG1', 'SNAI2']"
KEGG:04658,Th1 and Th2 cell differentiation,3.170847534324427e-08,14,89,148,"['ZAP70', 'FOS', 'IL12B', 'NOTCH3', 'MAPK3', 'IL2RG', 'CD4', 'STAT4', 'CD3E', 'JAG1', 'STAT1', 'IFNG', 'HLA-DRB1', 'NFKBIA']"
KEGG:05225,Hepatocellular carcinoma,4.733209783928499e-08,18,166,148,"['TGFB3', 'TGFB2', 'WNT5A', 'PIK3CD', 'APC2', 'FZD2', 'PRKCA', 'LRP5', 'SOS1', 'MAPK3', 'TGFBR1', 'SMARCA2', 'WNT7A', 'LRP6', 'WNT3A', 'WNT1', 'WNT4', 'WNT10B']"
KEGG:04933,AGE-RAGE signaling pathway in diabetic complications,1.557798234337838e-07,14,100,148,"['TGFB3', 'TGFB2', 'PIK3CD', 'VCAM1', 'ICAM1', 'PRKCA', 'AGT', 'PRKCD', 'MAPK3', 'TGFBR1', 'COL1A2', 'STAT1', 'COL4A5', 'FN1']"
KEGG:04659,Th17 cell differentiation,3.0019696362258917e-07,14,105,148,"['FOXP3', 'ZAP70', 'FOS', 'MAPK3', 'IL2RG', 'TGFBR1', 'RORA', 'CD4', 'CD3E', 'STAT1', 'IFNG', 'HLA-DRB1', 'NFKBIA', 'IL23R']"
KEGG:05140,Leishmaniasis,3.731624596952105e-06,11,72,148,"['TGFB3', 'TGFB2', 'FOS', 'IL12B', 'MAPK3', 'NCF2', 'STAT1', 'IFNG', 'HLA-DRB1', 'NFKBIA', 'TLR2']"
KEGG:05145,Toxoplasmosis,3.973451446056108e-06,13,108,148,"['TGFB3', 'TGFB2', 'LAMB2', 'IL12B', 'MAPK3', 'PIK3CG', 'LDLR', 'STAT1', 'IFNG', 'HLA-DRB1', 'NFKBIA', 'ALOX5', 'TLR2']"
KEGG:04310,Wnt signaling pathway,5.009443436105314e-06,16,174,148,"['ROR2', 'WNT5A', 'APC2', 'FZD2', 'PRKCA', 'LRP5', 'GPC4', 'DKK1', 'PPARD', 'WNT7A', 'LRP6', 'WNT3A', 'PRKACB', 'WNT1', 'WNT4', 'WNT10B']"
KEGG:05165,Human papillomavirus infection,5.114594425601743e-06,22,330,148,"['WNT5A', 'PIK3CD', 'ITGB3', 'LAMB2', 'APC2', 'FZD2', 'SOS1', 'NOTCH3', 'MAPK3', 'COL1A2', 'ITGB4', 'WNT7A', 'JAG1', 'WNT3A', 'PRKACB', 'STAT1', 'WNT1', 'COL4A5', 'WNT4', 'WNT10B', 'DLG1', 'FN1']"
